user_id,age,gender,marital_status,has_children,nationality,city,disability,pets,profession,hobbies,interests,travel_experience,preferred_travel_style,poi_id,poi_title,is_manual_first,manual_significance,manual_trust,manual_clarity,ai_significance,ai_trust,ai_clarity,engaging_preference,relevant_preference,eager_preference,title_preference,description_preference,already_visited,timestamp,response_date,response_time,engaging_preference_score,relevant_preference_score,eager_preference_score,title_preference_score,description_preference_score
2a8a67f6-21e8-4354-aeba-1a47c759fd45,38,Female,Single,No,Indian,Frankfurt am Main,No,No,Engineer,"['Reading', 'Cooking', 'Movies/TV', 'Traveling']","['History & Culture', 'Nature & Outdoors', 'Food & Cuisine', 'Architecture']",Intermediate,"['Relaxation', 'Budget', 'Cultural', 'Solo']",1,Hotel Hassler Roma,True,Strongly Agree,Moderately,Clear,Strongly Agree,Moderately,Clear,Version B,Version B,Version B,Version A,Version B,I have never heard of it before.,2025-01-25 10:47:20.554734,2025-01-25,10:47:20.554734,-1,-1,-1,1,-1
2a8a67f6-21e8-4354-aeba-1a47c759fd45,38,Female,Single,No,Indian,Frankfurt am Main,No,No,Engineer,"['Reading', 'Cooking', 'Movies/TV', 'Traveling']","['History & Culture', 'Nature & Outdoors', 'Food & Cuisine', 'Architecture']",Intermediate,"['Relaxation', 'Budget', 'Cultural', 'Solo']",2,The Savoy,True,Strongly Agree,Very,Very Clear,Agree,Moderately,Clear,Version A,Version A,Version A,Version A,Version A,I have seen/heard about it online or from others.,2025-01-25 10:48:24.817328,2025-01-25,10:48:24.817328,1,1,1,1,1
2a8a67f6-21e8-4354-aeba-1a47c759fd45,38,Female,Single,No,Indian,Frankfurt am Main,No,No,Engineer,"['Reading', 'Cooking', 'Movies/TV', 'Traveling']","['History & Culture', 'Nature & Outdoors', 'Food & Cuisine', 'Architecture']",Intermediate,"['Relaxation', 'Budget', 'Cultural', 'Solo']",3,Jungfraujoch - Top of Europe,True,Agree,Very,Clear,Agree,Very,Clear,Version B,Version B,Version B,Version B,Version B,I have seen/heard about it online or from others.,2025-01-25 10:50:03.959372,2025-01-25,10:50:03.959372,-1,-1,-1,-1,-1
2a8a67f6-21e8-4354-aeba-1a47c759fd45,38,Female,Single,No,Indian,Frankfurt am Main,No,No,Engineer,"['Reading', 'Cooking', 'Movies/TV', 'Traveling']","['History & Culture', 'Nature & Outdoors', 'Food & Cuisine', 'Architecture']",Intermediate,"['Relaxation', 'Budget', 'Cultural', 'Solo']",4,Neuschwanstein Castle,False,Agree,Very,Clear,Agree,Very,Clear,Version A,Version B,Version A,Version A,Version A,I have visited it in person.,2025-01-25 10:51:50.531436,2025-01-25,10:51:50.531436,1,-1,1,1,1
2a8a67f6-21e8-4354-aeba-1a47c759fd45,38,Female,Single,No,Indian,Frankfurt am Main,No,No,Engineer,"['Reading', 'Cooking', 'Movies/TV', 'Traveling']","['History & Culture', 'Nature & Outdoors', 'Food & Cuisine', 'Architecture']",Intermediate,"['Relaxation', 'Budget', 'Cultural', 'Solo']",5,Cologne Carnival,True,Strongly Agree,Very,Clear,Agree,Very,Clear,Version A,Version A,Version A,Version A,Version A,I have visited it in person.,2025-01-25 10:53:46.630113,2025-01-25,10:53:46.630113,1,1,1,1,1
2a8a67f6-21e8-4354-aeba-1a47c759fd45,38,Female,Single,No,Indian,Frankfurt am Main,No,No,Engineer,"['Reading', 'Cooking', 'Movies/TV', 'Traveling']","['History & Culture', 'Nature & Outdoors', 'Food & Cuisine', 'Architecture']",Intermediate,"['Relaxation', 'Budget', 'Cultural', 'Solo']",6,Cannstatter Volksfest,False,Strongly Agree,Very,Very Clear,Agree,Very,Clear,Version A,Version A,Version A,Version A,Version A,I have never heard of it before.,2025-01-25 10:54:32.189539,2025-01-25,10:54:32.189539,1,1,1,1,1
2a8a67f6-21e8-4354-aeba-1a47c759fd45,38,Female,Single,No,Indian,Frankfurt am Main,No,No,Engineer,"['Reading', 'Cooking', 'Movies/TV', 'Traveling']","['History & Culture', 'Nature & Outdoors', 'Food & Cuisine', 'Architecture']",Intermediate,"['Relaxation', 'Budget', 'Cultural', 'Solo']",7,Colosseum,False,Agree,Very,Clear,Agree,Very,Very Clear,Version B,Version B,Version B,Version B,Version B,I have visited it in person.,2025-01-25 10:55:44.007876,2025-01-25,10:55:44.007876,-1,-1,-1,-1,-1
2a8a67f6-21e8-4354-aeba-1a47c759fd45,38,Female,Single,No,Indian,Frankfurt am Main,No,No,Engineer,"['Reading', 'Cooking', 'Movies/TV', 'Traveling']","['History & Culture', 'Nature & Outdoors', 'Food & Cuisine', 'Architecture']",Intermediate,"['Relaxation', 'Budget', 'Cultural', 'Solo']",8,Louvre Museum,False,Agree,Very,Clear,Strongly Agree,Very,Very Clear,Version B,Version B,Version B,Version B,Version B,I have visited it in person.,2025-01-25 10:58:02.466346,2025-01-25,10:58:02.466346,-1,-1,-1,-1,-1
2a8a67f6-21e8-4354-aeba-1a47c759fd45,38,Female,Single,No,Indian,Frankfurt am Main,No,No,Engineer,"['Reading', 'Cooking', 'Movies/TV', 'Traveling']","['History & Culture', 'Nature & Outdoors', 'Food & Cuisine', 'Architecture']",Intermediate,"['Relaxation', 'Budget', 'Cultural', 'Solo']",9,Via del Corso,True,Strongly Agree,Very,Very Clear,Agree,Very,Clear,Version A,Version A,Version A,Version A,Version A,I have visited it in person.,2025-01-25 10:59:27.207743,2025-01-25,10:59:27.207743,1,1,1,1,1
2a8a67f6-21e8-4354-aeba-1a47c759fd45,38,Female,Single,No,Indian,Frankfurt am Main,No,No,Engineer,"['Reading', 'Cooking', 'Movies/TV', 'Traveling']","['History & Culture', 'Nature & Outdoors', 'Food & Cuisine', 'Architecture']",Intermediate,"['Relaxation', 'Budget', 'Cultural', 'Solo']",10,"Café Central, Vienna",True,Strongly Agree,Very,Very Clear,Strongly Agree,Extremely,Very Clear,Version B,Version B,Version B,Version B,Version B,I have seen/heard about it online or from others.,2025-01-25 11:00:45.158881,2025-01-25,11:00:45.158881,-1,-1,-1,-1,-1
